Layout,N,Composite_JS,Composite_Py,Composite_Diff,Composite_N,TextEdit_JS,TextEdit_Py,TextEdit_Diff,TextEdit_N,ROEdit_JS,ROEdit_Py,ROEdit_Diff,ROEdit_N,Coverage_JS,Coverage_Py,Coverage_Diff,Coverage_N,BBox_JS,BBox_Py,BBox_Diff,BBox_N,Composite_JS_win_pct,Composite_Py_win_pct,Composite_tie_pct,FormulaEdit_JS,FormulaEdit_Py,FormulaEdit_Diff,FormulaEdit_N,TEDS_JS,TEDS_Py,TEDS_Diff,TEDS_N,TEDS_S_JS,TEDS_S_Py,TEDS_S_Diff,TEDS_S_N
Single column,188,72.44655913978495,73.91682795698924,-1.4702688172043012,186,0.25468087431693986,0.2309896174863388,0.023691256830601092,183,0.020026829268292683,0.0043576687116564415,0.003543827160493827,162,0.8253335106382977,0.830915425531915,-0.005581914893617023,188,0.7883229946524065,0.8063224598930481,-0.017999465240641707,187,33.33333333333333,55.91397849462365,10.75268817204301,0.48903076923076927,0.48841794871794875,0.0006128205128205172,39,0.7517342465753424,0.7558068493150686,-0.004072602739726026,73,0.8389986301369863,0.8397082191780821,-0.0007095890410958914,73
Two columns,36,79.19222222222221,79.39055555555555,-0.19833333333333178,36,0.2122111111111111,0.20805277777777775,0.004158333333333332,36,0.008388888888888888,0.005038888888888889,0.0033499999999999997,36,0.9218916666666667,0.9215666666666666,0.0003250000000000043,36,0.8400361111111112,0.8506833333333333,-0.010647222222222209,36,38.88888888888889,61.111111111111114,0.0,0.3466076923076923,0.3339923076923077,0.012615384615384619,13,0.7731222222222223,0.7411555555555556,0.03196666666666667,9,0.7777777777777778,0.7568777777777778,0.020899999999999995,9
Three columns,11,78.86727272727273,77.49909090909091,1.3681818181818175,11,0.18374545454545455,0.19731818181818186,-0.013572727272727276,11,0.01058,0.00092,0.009659999999999998,10,0.815,0.8189181818181818,-0.003918181818181817,11,0.7838454545454545,0.7936818181818183,-0.009836363636363643,11,36.36363636363637,63.63636363636363,0.0,,,,0,0.3527,0.3536,-0.0009000000000000119,1,0.4545,0.4545,0.0,1
Irregular columns,29,77.51206896551724,78.9996551724138,-1.4875862068965517,29,0.23513448275862067,0.21495862068965513,0.02017586206896552,29,0.02187931034482759,0.01976206896551724,0.002117241379310345,29,0.9082034482758621,0.9061448275862068,0.0020586206896551717,29,0.8336241379310345,0.8473379310344827,-0.013713793103448281,29,24.137931034482758,72.41379310344827,3.4482758620689653,0.22175714285714282,0.2218,-4.2857142857142104e-05,7,0.8751571428571427,0.8447857142857143,0.030371428571428574,7,0.9859,0.9591142857142857,0.026785714285714284,7
Tata letak lainnya,86,64.0453488372093,70.94523255813954,-6.899883720930233,86,0.3410883720930233,0.2786127906976744,0.06247558139534882,86,0.08326024096385544,0.045939999999999995,0.04943048780487804,82,0.786456976744186,0.8269127906976745,-0.04045581395348837,86,0.6541174418604652,0.7332837209302326,-0.07916627906976745,86,40.69767441860465,59.30232558139535,0.0,0.7298833333333333,0.6058333333333333,0.12405,6,0.49109166666666665,0.6009666666666668,-0.10987500000000001,12,0.5871750000000001,0.716775,-0.1296,12
