Layout,N,JS_mean_s,Py_mean_s,Ratio_geomean,Ratio_median,Formula_N,Formula_ratio_geomean,Table_N,Table_ratio_geomean
Single column,25,5.208787999999999,2.770892,1.926399565293525,1.7759,6,2.1681470994760814,11,2.109048234177475
Two columns,4,6.501799999999999,4.091725,1.558654181945296,1.5304,2,2.1014048634187557,1,2.3080999999999996
Three columns,3,5.212666666666666,3.878,1.1599807399435447,1.4523,0,,0,
Irregular columns,8,18.7104,7.4823249999999994,2.2879929159264054,2.4983,4,2.930235109916187,2,1.8763406193972352
Tata letak lainnya,10,5.737500000000001,3.3394199999999996,1.5337269519159158,1.52445,2,2.7674162101136863,1,1.6536
