Layout,N,Coverage_F1_mean,Coverage_F1_median,Text_similarity_mean,Text_similarity_median,TEDS_mean,TEDS_S_mean,BBox_IoU_mean,Kendall_mean,Only_JS_sum,Only_Py_sum,CL_equal_pct
Satu kolom,188,0.9713542553191489,1.0,0.8979521978021978,0.9678,0.9040631578947368,0.9483513157894737,0.9374909090909093,0.9740832369942195,52,69,88.82978723404256
Dua kolom,36,0.970211111111111,1.0,0.9459305555555557,0.9639,0.9407571428571428,0.9542857142857143,0.9483722222222222,0.978013888888889,22,28,72.22222222222221
Tiga kolom,11,0.9830181818181818,1.0,0.9373818181818181,0.9799,0.9913,1.0,0.9310818181818181,0.9661909090909091,10,12,90.9090909090909
Satu/lebih kolom tidak beraturan,29,0.9846172413793104,1.0,0.9405344827586206,0.9643,0.9264,0.9726428571428573,0.9435586206896552,0.9917931034482759,8,8,89.65517241379311
Tata letak lainnya,86,0.8902058139534885,0.915,0.7922755813953488,0.9298500000000001,0.8898000000000001,0.9452214285714285,0.7882046511627907,0.8419915662650602,289,367,60.46511627906976
